ebmcode;ebmlabel;price
01100;Unvorhergesehene Inanspruchnahme des Vertragsarztes durch einen Patienten ;20,45
01101;Unvorhergesehene Inanspruchnahme des Vertragsarztes durch einen Patienten;32,66
01102;Inanspruchnahme des Vertragsarztes an Samstagen zwischen 07:00 und 14:00 Uhr;10,54
01210;Notfallpauschale im organisierten Not(-fall)dienst und für nicht an der vertragsärztlichen Versorgung teilnehmende Ärzte, Institute und Krankenhäuser bei Inanspruchnahme;13,25
01212;Notfallpauschale im organisierten Not(-fall)dienst und für nicht an der vertragsärztlichen Versorgung teilnehmende Ärzte, Institute und Krankenhäuser bei Inanspruchnahme ;20,35
01214;Notfallkonsultationspauschale I im organisierten Not(-fall)dienst und für nicht an der vertragsärztlichen Versorgung teilnehmende Ärzte, Institute und Krankenhäuser;5,22
01216;Notfallkonsultationspauschale II im organisierten Not(-fall)dienst und für nicht an der vertragsärztlichen Versorgung teilnehmende Ärzte, Institute und Krankenhäuser bei Inanspruchnahme;14,61
01218;Notfallkonsultationspauschale III im organisierten Not(-fall)dienst und für nicht an der vertragsärztlichen Versorgung teilnehmende Ärzte, Institute und Krankenhäuser bei Inanspruchnahme ;17,74
01220;Reanimationskomplex ;107,18
01221;Zuschlag zu der Gebührenordnungsposition 01220;21,19
01222;Zuschlag zu der Gebührenordnungsposition 01220;30,06
01320;Grundpauschale für Ärzte, Institute und Krankenhäuser, die zur Erbringung von Leistungen innerhalb mindestens eines der Fachgebiete Anästhesiologie, Frauenheilkunde und Geburtshilfe, Haut- und Geschlechtskrankheiten, Mund-, Kiefer- und Gesichtschirurgie und Humangenetik ermächtigt sind ;9,60
01321;Grundpauschale für Ärzte, Institute und Krankenhäuser, die zur Erbringung von Leistungen innerhalb mindestens eines der nicht in der Gebührenordnungsposition 01320 aufgeführten Fachgebiete ermächtigt sind, mit Ausnahme der Ärzte, die nach § 13 Abs. 4 Bundesmantelvertrag-Ärzte (BMV-Ä) nur auf Überweisung in Anspruch genommen werden können ;16,59
01410;Besuch eines Kranken, wegen der Erkrankung ausgeführt;22,12
01411;Dringender Besuch wegen der Erkrankung, unverzüglich nach Bestellung ausgeführt ;48,95
01412;Dringender Besuch / dringende Visite auf der Belegstation wegen der Erkrankung, unverzüglich nach Bestellung ausgeführt;65,33
01413;Besuch eines weiteren Kranken in derselben sozialen Gemeinschaft (z. B. Familie) und/oder in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;11,06
01414;Visite auf der Belegstation,;9,08
01415;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal wegen der Erkrankung, noch am Tag der Bestellung ausgeführt;56,98
01416;Begleitung eines Kranken durch den behandelnden Arzt beim Transport zur unmittelbar notwendigen stationären Behandlung,;9,39
